4,1.25,60,0,1.0735
4,1.25,75,90,1.2559
4,1.25,75,-90,1.2559
4,1.25,75,75,1.3193
4,1.25,75,-75,1.273
4,1.25,75,60,1.2467
4,1.25,75,-60,1.7975
4,1.25,75,30,2.0327
4,1.25,75,-30,2.2483
4,1.25,75,15,2.1899
4,1.25,75,-15,2.0457
4,1.25,75,0,2.0516
4,2.15,60,90,1.1038
4,2.15,60,-90,1.1038
4,2.15,60,75,1.0383
4,2.15,60,-75,1.1239
4,2.15,60,60,1.0114
4,2.15,60,-60,1.1345
4,2.15,60,45,1.0362
4,2.15,60,-45,1.0646
4,2.15,60,30,0.9607
4,2.15,60,-30,1.0883
4,2.15,60,15,0.994
4,2.15,60,-15,1.07
4,2.15,60,0,1.0526
4,2.15,75,90,1.0885
4,2.15,75,-90,1.0885
4,2.15,75,0,1.9966
